sig_sd,ls,noise_sd,lml
0.015,0.015,14.291,-39.631
1.454,0.027,11.074,-39.615
0.024,0.039,11.571,-39.539
1.365,29.846,13.391,-39.472
0.375,0.725,12.448,-39.472
0.034,63.04,12.596,-39.472
0.136,20.703,12.034,-39.488
0.695,10.929,18.336,-40.612
0.124,1.367,12.796,-39.476
12.934,12.466,13.242,-39.318
0.278,1.752,13.434,-39.518
0.18,117.606,15.247,-39.811
0.219,21.147,12.868,-39.477
0.147,0.156,10.375,-39.878
0.274,8.026,10.894,-39.68
0.072,67.449,9.449,-40.443
0.66,3.423,15.235,-39.805
0.179,0.086,10.252,-39.935
3.321,22.006,7.741,-40.993
0.087,0.254,18.032,-40.526
0.426,9.175,16.128,-40.012
1.355,1.287,11.366,-39.541
0.105,0.236,14.74,-39.709
94.168,0.18,10.511,-54.759
0.097,6.501,13.301,-39.506
2.763,0.78,8.386,-41.01
15.439,10.014,20.693,-41.96
1.353,0.198,12.537,-39.472
0.03,0.04,11.411,-39.566
4.956,2.582,6.505,-39.724
3.853,0.132,14.454,-39.752
30.711,110.052,7.882,-41.552
1.953,7.941,11.253,-39.309
0.165,139.307,17.531,-40.384
0.013,0.023,22.754,-41.953
5.639,0.013,9.838,-39.579
0.017,0.266,12.221,-39.479
0.101,0.021,8.441,-41.541
0.23,19.482,11.931,-39.494
0.087,11.499,12.067,-39.486
0.063,106.227,14.748,-39.711
12.369,122.807,10.117,-39.836
0.014,0.114,18.849,-40.764
0.197,1.497,11.724,-39.518
0.621,0.197,17.722,-40.441
16.413,0.025,12.256,-41.257
1.447,14.886,7.644,-42.172
17.76,0.168,9.066,-41.077
0.206,0.543,13.888,-39.571
21.36,17.566,6.95,-39.222
