,mu,rho
log_alpha8,-2.10915709714172,-2.894848637056054
log_l10_interval__,1.9941754854284426,-1.6309651023219798
log_l2_interval__,0.5710754809603787,-2.4829764204237854
log_l4_interval__,3.0746601866414363,-0.19393746894910643
log_l5_interval__,-0.5551703603133851,-1.378415741922568
log_l7_interval__,0.15918765974817037,-1.556768582694608
log_n11_interval__,-2.928873566490994,-2.0056725557889514
log_s1,5.362108547702778,-1.2560483498338535
log_s3_interval__,0.44503871786261207,-1.5806699305155778
log_s6,0.15557395328927187,-2.013368274588012
log_s9_interval__,2.348176735849662,-1.7512759156152273
