,mean,sd,mc_error,hpd_2.5,hpd_97.5,Acc Rate
log_s1,4.335,0.046,0.001,4.252,4.431,0.829
log_s6,0.151,0.051,0.002,0.054,0.25,0.829
log_alpha8,-2.113,0.052,0.002,-2.217,-2.012,0.829
log_l2,4.127,0.163,0.005,3.82,4.451,0.829
log_l4,4.521,0.269,0.015,4.078,4.997,0.829
log_l5,-0.251,0.186,0.009,-0.629,0.083,0.829
log_l7,0.581,0.167,0.007,0.276,0.927,0.829
log_l10,-2.182,0.28,0.016,-2.792,-1.693,0.829
ls_2,62.845,10.232,0.292,44.738,84.467,0.829
ls_4,95.264,24.844,1.488,58.339,147.078,0.829
ls_5,0.792,0.152,0.008,0.521,1.067,0.829
ls_7,1.812,0.301,0.013,1.307,2.511,0.829
ls_10,0.117,0.031,0.002,0.055,0.173,0.829
log_s3,1.071,0.43,0.023,0.243,1.875,0.829
log_s9,-1.797,0.138,0.006,-2.065,-1.543,0.829
s_1,76.432,3.549,0.111,70.084,83.754,0.829
s_3,3.226,1.667,0.095,1.124,6.205,0.829
s_6,1.164,0.059,0.002,1.056,1.283,0.829
s_9,0.167,0.023,0.001,0.122,0.209,0.829
alpha_8,0.121,0.006,0.0,0.109,0.134,0.829
log_n11,-1.663,0.082,0.006,-1.846,-1.53,0.829
n_11,0.19,0.015,0.001,0.157,0.215,0.829
